"INDICATOR - Simple average of simple averages"
"ORIGIN - World"
"DUTY TYPE - Most favoured nation rate (MFN rate)"

,YEAR,"1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Lebanon","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..",9.82,13.74,4.76,4.79,"..",4.11,4.72,4.09,4.7,"..","..","..","..","..","..",4.51,4.54,4.56,4.53
"Lebanon","Ores and metals","..","..","..","..","..","..","..","..","..","..","..",4.14,6.45,2.02,1.92,"..",1.89,1.76,1.83,1.84,"..","..","..","..","..","..",1.85,1.85,1.85,1.85
"Lebanon","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..",10.19,14.22,4.94,4.98,"..",4.26,4.91,4.25,4.89,"..","..","..","..","..","..",4.69,4.72,4.74,4.71
"Lebanon","Chemical products","..","..","..","..","..","..","..","..","..","..","..",4.77,7.55,2.41,2.41,"..",2.41,2.38,2.38,2.51,"..","..","..","..","..","..",2.5,2.5,2.5,2.52
"Lebanon","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..",7.68,11.47,3.84,3.6,"..",3.6,3.61,3.6,3.54,"..","..","..","..","..","..",3.51,3.51,3.51,3.53
"Lebanon","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..",13.38,17.97,6.4,6.59,"..",5.27,6.48,5.26,6.44,"..","..","..","..","..","..",6.09,6.15,6.2,6.12
"Lesotho","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..",8.52,"..","..",8.119999999999999,8.1,8.07,7.85,7.84,7.83,7.71,7.71,7.68,7.69,7.69,7.7,7.76,7.95
"Lesotho","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..",1.37,"..","..",1.25,1.21,1.21,1.28,1.28,1.28,0.82,0.8,0.82,0.82,0.82,0.82,0.82,0.82
"Lesotho","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..",8.98,"..","..",8.59,8.57,8.539999999999999,8.289999999999999,8.279999999999999,8.26,8.17,8.17,8.140000000000001,8.15,8.15,8.16,8.220000000000001,8.44
"Lesotho","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..","..",2.69,"..","..",2.63,2.63,2.59,2.56,2.53,2.52,1.94,1.94,1.91,1.92,1.89,1.89,1.89,1.92
"Lesotho","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..","..",3.18,"..","..",3.04,2.99,2.96,3,2.99,2.99,2.78,2.79,2.77,2.77,2.78,2.79,2.8,2.82
"Lesotho","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..",13.95,"..","..",13.31,13.29,13.26,12.87,12.86,12.84,12.99,12.98,13,13.02,13.03,13.04,13.16,13.52
"Liberia","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9.970000000000001,9.970000000000001,9.92,"..","..",".."
"Liberia","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7.62,7.62,7.62,"..","..",".."
"Liberia","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10.13,10.13,10.08,"..","..",".."
"Liberia","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6.42,6.42,6.34,"..","..",".."
"Liberia","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",8.140000000000001,8.140000000000001,8.119999999999999,"..","..",".."
"Liberia","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",12.52,12.52,12.45,"..","..",".."
"Libya","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..",18.54,"..","..","..","..","..",16.79,"..","..","..",0,"..","..","..","..","..","..","..","..","..","..",".."
"Libya","Ores and metals","..","..","..","..","..","..","..","..",8.300000000000001,"..","..","..","..","..",7.74,"..","..","..",0,"..","..","..","..","..","..","..","..","..","..",".."
"Libya","Manufactured goods","..","..","..","..","..","..","..","..",19.21,"..","..","..","..","..",17.35,"..","..","..",0,"..","..","..","..","..","..","..","..","..","..",".."
"Libya","Chemical products","..","..","..","..","..","..","..","..",7.18,"..","..","..","..","..",6.83,"..","..","..",0,"..","..","..","..","..","..","..","..","..","..",".."
"Libya","Machinery and transport equipment","..","..","..","..","..","..","..","..",21.25,"..","..","..","..","..",19.27,"..","..","..",0,"..","..","..","..","..","..","..","..","..","..",".."
"Libya","Other manufactured goods","..","..","..","..","..","..","..","..",22.98,"..","..","..","..","..",20.63,"..","..","..",0,"..","..","..","..","..","..","..","..","..","..",".."
"Lithuania","Manufactured goods, ores and metals","_","_","_","_","..","..","..",2.76,"..",2.69,"..","..","..","..",2.55,2.42,4.08,4.07,4.06,3.86,3.86,3.86,4.04,4.03,4.02,4.01,4,4.01,3.96,3.96
"Lithuania","Ores and metals","_","_","_","_","..","..","..",0,"..",0,"..","..","..","..",0,0,1.63,1.59,1.59,1.58,1.56,1.56,1.56,1.56,1.57,1.57,1.57,1.57,1.57,1.57
"Lithuania","Manufactured goods","_","_","_","_","..","..","..",2.94,"..",2.86,"..","..","..","..",2.72,2.59,4.25,4.24,4.23,4.02,4.01,4.01,4.2,4.2,4.18,4.18,4.17,4.17,4.12,4.13
"Lithuania","Chemical products","_","_","_","_","..","..","..",0.74,"..",0.7,"..","..","..","..",0.48,0.47,5.2,5.23,5.22,4.41,4.39,4.33,5.19,5.16,5.14,5.13,5.14,5.16,5.16,5.13
"Lithuania","Machinery and transport equipment","_","_","_","_","..","..","..",0.51,"..",0.4,"..","..","..","..",0.38,0.38,2.27,2.26,2.22,2.27,2.27,2.26,2.26,2.27,2.27,2.28,2.27,2.27,2.16,2.19
"Lithuania","Other manufactured goods","_","_","_","_","..","..","..",4.81,"..",4.77,"..","..","..","..",4.61,4.36,4.71,4.69,4.68,4.61,4.61,4.63,4.63,4.64,4.62,4.61,4.59,4.6,4.55,4.56
"Luxembourg","Manufactured goods, ores and metals",5.81,5.8,8.140000000000001,6.73,6.83,6.78,6.73,6.29,5.39,5.5,4.92,4.51,4.35,4.4,4.56,4.33,4.08,4.07,4.06,3.86,3.86,3.86,4.04,4.03,4.02,4.01,4,4.01,3.96,3.96
"Luxembourg","Ores and metals",2.53,2.47,2.54,2.54,2.54,2.54,2.54,2.33,1.97,1.96,1.77,1.59,1.59,1.59,1.59,1.59,1.63,1.59,1.59,1.58,1.56,1.56,1.56,1.56,1.57,1.57,1.57,1.57,1.57,1.57
"Luxembourg","Manufactured goods",6.08,6.08,8.52,7.02,7.12,7.07,7.01,6.56,5.61,5.73,5.12,4.71,4.52,4.59,4.76,4.52,4.25,4.24,4.23,4.02,4.01,4.01,4.2,4.2,4.18,4.18,4.17,4.17,4.12,4.13
"Luxembourg","Chemical products",7.54,7.53,7.64,7.64,7.79,7.63,7.63,7.49,5.88,6.52,5.57,5.24,4.85,5.59,5.34,5.33,5.2,5.23,5.22,4.41,4.39,4.33,5.19,5.16,5.14,5.13,5.14,5.16,5.16,5.13
"Luxembourg","Machinery and transport equipment",4.92,4.91,5.01,5.01,5.06,5.12,5.02,4.55,3.55,3.54,2.83,2.34,2.28,2.28,2.27,2.27,2.27,2.26,2.22,2.27,2.27,2.26,2.26,2.27,2.27,2.28,2.27,2.27,2.16,2.19
"Luxembourg","Other manufactured goods",6,5.99,10.33,7.62,7.73,7.67,7.62,7.04,6.41,6.38,5.94,5.53,5.37,5.19,5.58,5.15,4.71,4.69,4.68,4.61,4.61,4.63,4.63,4.64,4.62,4.61,4.59,4.6,4.55,4.56
"Madagascar","Manufactured goods, ores and metals","..","..","..","..","..","..","..",7.27,7.2,7.21,6.57,"..",5.9,4.6,5.29,4.67,3.25,11.07,13.08,11.96,12.02,11.06,11.14,11.04,11.02,10.89,10.88,10.88,10.83,10.9
"Madagascar","Ores and metals","..","..","..","..","..","..","..",2.08,1.51,1.51,1.51,"..",1.46,1.48,1.43,1.43,1.21,10.97,8.130000000000001,8,8.039999999999999,8.01,8.01,8.01,8.01,8.01,8.01,8,8,8
"Madagascar","Manufactured goods","..","..","..","..","..","..","..",7.62,7.58,7.58,6.9,"..",6.18,4.81,5.55,4.89,3.39,11.07,13.42,12.22,12.28,11.26,11.35,11.24,11.22,11.08,11.07,11.08,11.02,11.1
"Madagascar","Chemical products","..","..","..","..","..","..","..",0.89,0.83,0.84,0.85,"..",0.64,0.64,0.63,0.63,0.62,9.710000000000001,9.970000000000001,6.69,6.68,6.64,6.69,6.65,6.66,6.55,6.55,6.55,6.55,6.61
"Madagascar","Machinery and transport equipment","..","..","..","..","..","..","..",7.71,7.7,7.67,5.53,"..",5.24,4.48,4.41,4.18,1.93,6.73,11.06,11.02,11,8.029999999999999,8.23,7.97,7.96,7.91,7.91,7.92,7.9,7.96
"Madagascar","Other manufactured goods","..","..","..","..","..","..","..",10.18,10.16,10.17,9.85,"..",8.76,6.57,7.99,6.88,5.1,13.46,15.78,14.97,15.09,14.51,14.58,14.5,14.48,14.3,14.29,14.29,14.2,14.27
"Malawi","Manufactured goods, ores and metals","..","..","..","..","..","..",31.82,"..",27.44,25.67,20.26,"..",13.32,12.95,"..",12.98,"..","..",13,"..",12.74,12.64,11.9,12.35,11.88,11.39,11.34,11.33,11.34,".."
"Malawi","Ores and metals","..","..","..","..","..","..",15.33,"..",14.79,13.87,10.42,"..",7.99,7.99,"..",7.88,"..","..",7.85,"..",7.97,7.97,9.050000000000001,9.470000000000001,9.050000000000001,8.970000000000001,9.039999999999999,8.970000000000001,8.970000000000001,".."
"Malawi","Manufactured goods","..","..","..","..","..","..",32.97,"..",28.3,26.47,20.92,"..",13.67,13.28,"..",13.33,"..","..",13.35,"..",13.05,12.96,12.09,12.56,12.07,11.55,11.5,11.48,11.5,".."
"Malawi","Chemical products","..","..","..","..","..","..",24.98,"..",20.16,19.87,11.18,"..",6.19,6.19,"..",6.15,"..","..",6.25,"..",6.3,6.27,2.95,3.03,2.94,2.94,2.97,2.97,2.97,".."
"Malawi","Machinery and transport equipment","..","..","..","..","..","..",26.8,"..",23.14,22.06,17.18,"..",10.93,9.43,"..",9.52,"..","..",9.4,"..",8.9,8.52,7.59,7.69,7.55,5.78,5.69,5.68,5.69,".."
"Malawi","Other manufactured goods","..","..","..","..","..","..",37.6,"..",33.59,30.86,26.24,"..",17.78,17.71,"..",17.79,"..","..",17.84,"..",17.57,17.57,17.73,18.46,17.7,17.52,17.51,17.49,17.52,".."
"Malaysia","Manufactured goods, ores and metals",21.6,"..","..",16.09,"..",12.89,"..","..",10.55,9.48,14.69,9.98,9.35,9.359999999999999,9.33,9.65,10.29,8.359999999999999,8.210000000000001,8.199999999999999,8.25,8.609999999999999,6.34,6.32,6.3,6.14,5.91,"..",5.98,".."
"Malaysia","Ores and metals",6.13,"..","..",6.08,"..",5.46,"..","..",2.51,2.46,2.43,2.49,2.49,2.47,2.45,2.49,13.27,2.29,2.3,2.32,2.42,2.42,2.41,2.41,2.41,2.43,2.42,"..",2.44,".."
"Malaysia","Manufactured goods",22.65,"..","..",16.77,"..",13.4,"..","..",11.07,9.93,15.49,10.46,9.800000000000001,9.800000000000001,9.779999999999999,10.12,10.09,8.77,8.609999999999999,8.6,8.640000000000001,9.029999999999999,6.6,6.58,6.56,6.39,6.14,"..",6.21,".."
"Malaysia","Chemical products",36.31,"..","..",9.779999999999999,"..",7.11,"..","..",7.68,3.95,5.8,5.99,5.8,3.46,3.38,4.94,6.09,2.84,2.85,2.85,3.89,5.65,3.69,3.57,3.57,3.53,2.43,"..",3.47,".."
"Malaysia","Machinery and transport equipment",11.28,"..","..",11.1,"..",9.73,"..","..",6.18,6.53,6.06,7.15,6.97,7.04,7.04,7.04,7.57,5.66,5.17,5.17,4.69,4.69,4.58,4.58,4.58,4.55,4.54,"..",4.43,".."
"Malaysia","Other manufactured goods",22.18,"..","..",21.84,"..",17.35,"..","..",14.51,13.75,23.38,13.64,12.58,13.47,13.45,13.47,12.74,12.43,12.34,12.34,12.25,12.25,8.65,8.65,8.6,8.35,8.35,"..",8.109999999999999,".."
"Maldives","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..",20.58,20.58,20.59,20.59,20.62,20.59,20.59,"..",20.87,20.87,20.78,20.82,10.72,10.72,10.69,13.95,13.92,13.92
"Maldives","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..",24.27,24.27,24.25,24.31,24.3,24.31,24.31,"..",24.36,24.36,24.3,24.32,6.84,6.84,6.36,6.52,6.54,6.52
"Maldives","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..",20.34,20.34,20.35,20.34,20.37,20.34,20.34,"..",20.63,20.63,20.55,20.59,10.98,10.98,10.98,14.44,14.41,14.43
"Maldives","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..",14.84,14.84,14.84,14.79,14.78,14.79,14.79,"..",15,15,14.94,15.04,9.94,9.960000000000001,9.99,13.34,13.34,13.33
"Maldives","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..",23.89,23.89,23.93,23.88,24.11,23.88,23.88,"..",24.84,24.84,24.71,24.77,21.73,21.71,21.65,23.47,23.4,23.68
"Maldives","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..",20.95,20.95,20.95,21.04,21,21.04,21.04,"..",21.11,21.11,21.03,21.04,6.74,6.73,6.75,10.98,10.95,10.86
"Mali","Manufactured goods, ores and metals","..","..","..","..","..","..","..",3.13,15.08,15.08,15.08,10.54,"..",11.79,11.75,11.73,11.74,11.75,11.75,11.63,11.63,11.63,11.63,11.61,11.61,11.61,11.61,11.51,11.51,11.52
"Mali","Ores and metals","..","..","..","..","..","..","..",4.02,16.86,16.86,16.86,6.86,"..",7.49,7.51,7.25,7.36,7.36,7.36,7.21,7.18,7.21,7.21,7.19,7.19,7.19,7.19,7.17,7.17,7.17
"Mali","Manufactured goods","..","..","..","..","..","..","..",3.07,14.96,14.96,14.96,10.78,"..",12.07,12.02,12.04,12.04,12.05,12.05,11.93,11.93,11.93,11.93,11.91,11.91,11.91,11.9,11.81,11.81,11.82
"Mali","Chemical products","..","..","..","..","..","..","..",0.91,4.72,4.72,4.72,2.77,"..",6.43,6.43,6.43,6.43,6.43,6.43,6.51,6.51,6.51,6.51,6.42,6.42,6.42,6.42,6.66,6.66,6.71
"Mali","Machinery and transport equipment","..","..","..","..","..","..","..",2.07,8.65,8.65,8.65,5.55,"..",8.550000000000001,8.539999999999999,8.6,8.58,8.58,8.59,8.33,8.33,8.33,8.33,8.32,8.32,8.32,8.32,8.17,8.17,8.19
"Mali","Other manufactured goods","..","..","..","..","..","..","..",4.32,21.69,21.69,21.69,16.18,"..",15.8,15.71,15.72,15.73,15.75,15.75,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.66,15.49,15.49,15.48
"Malta","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..",7.86,"..","..",7.84,"..",6.16,6.16,"..","..","..","..",3.86,3.86,4.04,4.03,4.02,4.01,4,4.01,3.96,3.96
"Malta","Ores and metals","..","..","..","..","..","..","..","..","..",7.86,"..","..",7.86,"..",2.48,2.48,"..","..","..","..",1.56,1.56,1.56,1.56,1.57,1.57,1.57,1.57,1.57,1.57
"Malta","Manufactured goods","..","..","..","..","..","..","..","..","..",7.86,"..","..",7.84,"..",6.42,6.42,"..","..","..","..",4.01,4.01,4.2,4.2,4.18,4.18,4.17,4.17,4.12,4.13
"Malta","Chemical products","..","..","..","..","..","..","..","..","..",7.28,"..","..",7.28,"..",6.51,6.51,"..","..","..","..",4.39,4.33,5.19,5.16,5.14,5.13,5.14,5.16,5.16,5.13
"Malta","Machinery and transport equipment","..","..","..","..","..","..","..","..","..",7.16,"..","..",7.1,"..",4.71,4.71,"..","..","..","..",2.27,2.26,2.26,2.27,2.27,2.28,2.27,2.27,2.16,2.19
"Malta","Other manufactured goods","..","..","..","..","..","..","..","..","..",8.380000000000001,"..","..",8.390000000000001,"..",7.1,7.1,"..","..","..","..",4.61,4.63,4.63,4.64,4.62,4.61,4.59,4.6,4.55,4.56
"Mauritania","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..",10.51,"..","..","..","..",10.39,12.11,9.24,9.24,9.24,9.24,"..","..",11.94,11.94,"..",".."
"Mauritania","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..",5.66,"..","..","..","..",5.66,7.85,5.58,5.58,5.58,5.58,"..","..",8.300000000000001,8.300000000000001,"..",".."
"Mauritania","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..",10.83,"..","..","..","..",10.7,12.38,9.48,9.48,9.48,9.48,"..","..",12.19,12.18,"..",".."
"Mauritania","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..","..",5.08,"..","..","..","..",5.15,6.87,5.04,5.04,5.04,5.04,"..","..",6.2,6.2,"..",".."
"Mauritania","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..","..",8.4,"..","..","..","..",8.27,9.15,7.3,7.3,7.3,7.3,"..","..",9.18,9.17,"..",".."
"Mauritania","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..",14.13,"..","..","..","..",13.91,15.93,12.15,12.15,12.15,12.15,"..","..",15.94,15.93,"..",".."
"Mauritius","Manufactured goods, ores and metals","..","..","..","..","..","..","..",31.85,30.51,30.76,30.67,28.25,19.29,19.55,18.89,"..",17.92,5.65,3.1,3.11,2.97,1.45,1.44,2.07,1.83,1.77,1.17,1.15,1.15,0.73
"Mauritius","Ores and metals","..","..","..","..","..","..","..",15.86,15.81,16.1,22.72,12.17,1.19,1.19,0.95,"..",0.95,1.05,0.3,0.29,0.29,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
"Mauritius","Manufactured goods","..","..","..","..","..","..","..",32.93,31.46,31.75,31.21,29.3,20.47,20.75,20.11,"..",19.07,5.97,3.29,3.3,3.15,1.54,1.54,2.21,1.95,1.89,1.24,1.22,1.22,0.78
"Mauritius","Chemical products","..","..","..","..","..","..","..",22.25,22.15,22.2,24.94,14.93,6.13,6.85,6.42,"..",6.41,3.59,1.54,1.61,1.61,0.62,0.62,0.62,0.37,0.37,0.37,0.37,0.37,0.37
"Mauritius","Machinery and transport equipment","..","..","..","..","..","..","..",31.56,30.31,30.76,30.14,30.18,14.53,15.26,14.28,"..",12.67,5.22,2.57,2.53,2.07,0.69,0.67,0.67,0.6,0.58,0.56,0.56,0.56,0.31
"Mauritius","Other manufactured goods","..","..","..","..","..","..","..",37.61,35.6,35.84,34.07,34.54,28.64,28.55,28.01,"..",26.8,7.22,4.29,4.32,4.24,2.28,2.28,3.54,3.18,3.07,1.9,1.86,1.85,1.15
"Mexico","Manufactured goods, ores and metals","..","..","..",13.76,"..","..","..",13.08,13.81,13.92,13.83,17.08,17.05,17.03,17.09,17.11,16.42,13.48,13.42,11.22,11.09,9.91,7.11,6.14,5.66,5.44,5.41,5.32,5.38,5.53
"Mexico","Ores and metals","..","..","..",9.970000000000001,"..","..","..",9.779999999999999,9.43,9.57,9.41,12.4,12.39,12.39,12.39,12.34,12.34,9.369999999999999,9.35,6.52,6.47,4.74,0.64,0.52,0.52,0.48,0.48,0.48,0.47,0.47
"Mexico","Manufactured goods","..","..","..",14.01,"..","..","..",13.3,14.1,14.21,14.11,17.38,17.35,17.33,17.39,17.44,16.7,13.76,13.7,11.54,11.4,10.26,7.54,6.52,6,5.77,5.74,5.65,5.71,5.87
"Mexico","Chemical products","..","..","..",11.21,"..","..","..",10.89,9.69,9.960000000000001,9.640000000000001,12.39,12.43,12.42,12.42,12.26,12.19,9.26,9.26,6.83,6.8,5.09,2.33,2.33,2.32,2.2,2.1,2.05,2.04,2.02
"Mexico","Machinery and transport equipment","..","..","..",13.68,"..","..","..",11.27,10.95,11.07,10.92,14.29,14.15,14.05,14,13.99,13.55,10.4,10.4,8.82,8.73,7.33,4.11,3.99,3.86,3.65,3.65,3.65,3.62,3.62
"Mexico","Other manufactured goods","..","..","..",15.23,"..","..","..",15.08,17.18,17.22,17.24,20.67,20.66,20.66,20.81,20.95,19.81,16.97,16.86,14.56,14.4,13.6,11.12,9.289999999999999,8.4,8.140000000000001,8.140000000000001,7.98,8.119999999999999,8.42
"Mongolia","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..",0,4.94,6.92,6.92,4.94,4.95,4.36,4.36,4.95,4.95,4.95,4.95,4.95,"..",4.95,"..",4.95,"..",5.03
"Mongolia","Ores and metals","..","..","..","..","..","..","..","..","..","..","..",0,5,7,7,5,5,5,5,5,5,5,5,5,"..",5,"..",5,"..",5
"Mongolia","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..",0,4.94,6.91,6.91,4.94,4.94,4.32,4.32,4.95,4.95,4.95,4.95,4.95,"..",4.95,"..",4.94,"..",5.03
"Mongolia","Chemical products","..","..","..","..","..","..","..","..","..","..","..",0.02,4.99,6.98,6.98,4.99,4.99,5,5,5,5,5,5,5,"..",5,"..",5,"..",5
"Mongolia","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..",0,4.79,6.7,6.7,4.79,4.8,2.13,2.13,4.8,4.8,4.8,4.8,4.8,"..",4.8,"..",4.8,"..",4.8
"Mongolia","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..",0,4.99,6.98,6.98,4.99,4.99,4.98,4.98,4.99,4.99,4.99,4.99,4.99,"..",4.99,"..",4.99,"..",5.15
"Montenegro","Manufactured goods, ores and metals","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3.94,3.94,3.95,3.95,3.93,2.97,2.91,2.86,2.82,2.78
"Montenegro","Ores and metals","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.49,2.49,2.49,2.5,2.5,1.11,0.84,0.73,0.63,0.52
"Montenegro","Manufactured goods","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",4.04,4.04,4.04,4.05,4.03,3.1,3.05,3,2.96,2.94
"Montenegro","Chemical products","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.23,2.24,2.23,2.24,2.24,1.67,1.66,1.66,1.65,1.65
"Montenegro","Machinery and transport equipment","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.38,2.38,2.39,2.4,2.42,1.64,1.63,1.61,1.61,1.57
"Montenegro","Other manufactured goods","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",5.48,5.48,5.48,5.48,5.46,4.31,4.23,4.16,4.09,4.05
"Montserrat","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..",19.68,"..","..",16.26,"..","..","..","..","..","..","..","..","..","..","..","..",8.140000000000001,12.95,"..",12.95,12.95,12.77
"Montserrat","Ores and metals","..","..","..","..","..","..","..","..",15.75,"..","..",12.85,"..","..","..","..","..","..","..","..","..","..","..","..",5.06,8.26,"..",8.26,8.26,8.26
"Montserrat","Manufactured goods","..","..","..","..","..","..","..","..",19.73,"..","..",16.3,"..","..","..","..","..","..","..","..","..","..","..","..",8.35,13.26,"..",13.26,13.26,13.07
"Montserrat","Chemical products","..","..","..","..","..","..","..","..",14.91,"..","..",11.51,"..","..","..","..","..","..","..","..","..","..","..","..",5.74,7.5,"..",7.5,7.5,7.5
"Montserrat","Machinery and transport equipment","..","..","..","..","..","..","..","..",16.72,"..","..",14.31,"..","..","..","..","..","..","..","..","..","..","..","..",7.21,10.95,"..",10.95,10.95,10.67
"Montserrat","Other manufactured goods","..","..","..","..","..","..","..","..",21.24,"..","..",17.61,"..","..","..","..","..","..","..","..","..","..","..","..",9.890000000000001,16.58,"..",16.58,16.58,16.35
"Morocco","Manufactured goods, ores and metals","..","..","..","..","..",64.59999999999999,"..","..","..",18.43,"..","..",27.96,27.74,27.59,27.15,"..",23.02,20.92,19.77,17.7,14.68,13.33,10.36,8.82,"..",8.779999999999999,8.76,8.76,8.710000000000001
"Morocco","Ores and metals","..","..","..","..","..",27.88,"..","..","..",9.25,"..","..",23.76,23.67,24.07,23.86,"..",12.77,12.76,12.47,12.05,9.59,7.45,4.88,4.36,"..",4.36,4.2,4.2,4.2
"Morocco","Manufactured goods","..","..","..","..","..",67.08,"..","..","..",19.02,"..","..",28.24,28,27.83,27.37,"..",23.72,21.47,20.27,18.08,15.03,13.73,10.73,9.119999999999999,"..",9.09,9.07,9.060000000000001,9.02
"Morocco","Chemical products","..","..","..","..","..",50.01,"..","..","..",12.77,"..","..",26.47,26.13,24.87,23.41,"..",17.12,16.97,15.21,14.28,11.09,9.109999999999999,6.7,5.77,"..",5.63,5.5,5.5,5.5
"Morocco","Machinery and transport equipment","..","..","..","..","..",55.31,"..","..","..",10.74,"..","..",13.23,13.1,13.09,12.83,"..",10.94,10.94,8.949999999999999,8.199999999999999,8.029999999999999,7.32,5.93,5.23,"..",5.23,5.27,5.27,5.33
"Morocco","Other manufactured goods","..","..","..","..","..",78.58,"..","..","..",25.05,"..","..",35.41,35.18,35.26,35.11,"..",31.75,27.74,27.08,23.78,19.55,18.27,14.36,12.1,"..",12.09,12.18,12.18,12.06
"Mozambique","Manufactured goods, ores and metals","..","..","..","..","..","..",5,"..","..",14.56,"..","..","..",12.88,11.27,11.27,"..",11.26,11.26,9.73,9.35,9.310000000000001,9.32,9.310000000000001,9.310000000000001,"..",9.32,"..",9.32,".."
"Mozambique","Ores and metals","..","..","..","..","..","..",5,"..","..",4.44,"..","..","..",4.37,4.29,4.29,"..",4.29,4.29,4.28,4.22,4.21,4.21,4.21,4.21,"..",4.21,"..",4.21,".."
"Mozambique","Manufactured goods","..","..","..","..","..","..",5,"..","..",15.25,"..","..","..",13.43,11.75,11.75,"..",11.73,11.73,10.11,9.699999999999999,9.65,9.66,9.65,9.65,"..",9.66,"..",9.66,".."
"Mozambique","Chemical products","..","..","..","..","..","..",5,"..","..",4.93,"..","..","..",4.78,4.5,4.5,"..",4.49,4.49,4.19,4.27,4.22,4.26,4.26,4.26,"..",4.26,"..",4.26,".."
"Mozambique","Machinery and transport equipment","..","..","..","..","..","..",5,"..","..",9.359999999999999,"..","..","..",8.800000000000001,8.119999999999999,8.119999999999999,"..",8.119999999999999,8.119999999999999,7.5,7.1,6.93,6.96,6.91,6.96,"..",6.94,"..",6.94,".."
"Mozambique","Other manufactured goods","..","..","..","..","..","..",5,"..","..",21.68,"..","..","..",18.81,16.16,16.16,"..",16.14,16.14,13.55,13,13.01,13,13,12.98,"..",13.02,"..",13.02,".."
"Myanmar","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..",4.95,4.95,4.95,4.95,4.95,4.94,4.94,4.94,4.94,5.03,5.03,5.03,5.03,"..",4.91,4.91,4.86,4.86,"..",4.86,"..",".."
"Myanmar","Ores and metals","..","..","..","..","..","..","..","..",3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.14,3.14,3.14,3.14,"..",3.15,3.15,3.16,3.16,"..",3.16,"..",".."
"Myanmar","Manufactured goods","..","..","..","..","..","..","..","..",5.06,5.06,5.06,5.06,5.06,5.05,5.05,5.05,5.05,5.16,5.16,5.16,5.16,"..",5.02,5.02,4.98,4.98,"..",4.98,"..",".."
"Myanmar","Chemical products","..","..","..","..","..","..","..","..",1.88,1.88,1.88,1.88,1.88,1.87,1.87,1.87,1.87,1.85,1.85,1.85,1.85,"..",1.86,1.86,1.86,1.86,"..",1.86,"..",".."
