"INDICATOR - Simple average of simple averages"
"ORIGIN - World"
"DUTY TYPE - Most favoured nation rate (MFN rate)"

,YEAR,"1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Armenia","Manufactured goods, ores and metals","_","_","_","_","..","..","..","..","..","..","..","..","..",2.23,"..",2.19,2.19,2.19,2.14,2.12,2.11,2.16,2.16,2.25,2.86,2.86,2.88,6.57,5.7,5.44
"Armenia","Ores and metals","_","_","_","_","..","..","..","..","..","..","..","..","..",0.02,"..",0.45,0.45,0.45,0.42,0.42,0.42,0.4,0.4,0.4,1.67,1.67,1.69,5.79,5.36,4.99
"Armenia","Manufactured goods","_","_","_","_","..","..","..","..","..","..","..","..","..",2.37,"..",2.3,2.3,2.3,2.25,2.23,2.22,2.28,2.27,2.37,2.94,2.94,2.96,6.62,5.72,5.48
"Armenia","Chemical products","_","_","_","_","..","..","..","..","..","..","..","..","..",0.12,"..",0.08,0.08,0.08,0.08,0.12,0.08,0.13,0.13,0.12,0.14,0.14,0.14,4.38,4.17,4.08
"Armenia","Machinery and transport equipment","_","_","_","_","..","..","..","..","..","..","..","..","..",1.38,"..",1.86,1.86,1.86,1.85,1.74,1.74,1.96,1.95,2.28,2.96,2.96,2.96,4.02,3.53,3.41
"Armenia","Other manufactured goods","_","_","_","_","..","..","..","..","..","..","..","..","..",3.68,"..",3.36,3.36,3.36,3.29,3.28,3.28,3.28,3.28,3.31,4.07,4.07,4.1,8.67,7.32,6.94
"Aruba","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10.45,10.45,10.45,"..",10.46,10.46,10.46
"Aruba","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",8.51,8.51,8.51,"..",8.52,8.52,8.52
"Aruba","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10.58,10.58,10.58,"..",10.59,10.59,10.59
"Aruba","Chemical products","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",8.91,8.91,8.91,"..",8.92,8.92,8.92
"Aruba","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",12.66,12.66,12.66,"..",12.66,12.66,12.66
"Aruba","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10.36,10.36,10.36,"..",10.37,10.37,10.37
"Australia","Manufactured goods, ores and metals","..","..","..",15.09,"..",10.86,"..","..",7.26,6.9,6.55,6.23,5.85,4.86,4.85,4.85,4.85,3.99,4.01,4.03,4.01,4.03,3.18,3.14,3.16,3.16,3.16,2.91,2.91,2.91
"Australia","Ores and metals","..","..","..",2.67,"..",2.43,"..","..",1.17,1.17,1.17,1.17,1.17,1.07,1.01,1.01,1.01,1.01,0.99,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
"Australia","Manufactured goods","..","..","..",15.93,"..",11.43,"..","..",7.65,7.27,6.9,6.56,6.15,5.11,5.11,5.11,5.11,4.19,4.21,4.23,4.21,4.22,3.33,3.28,3.3,3.3,3.3,3.04,3.04,3.04
"Australia","Chemical products","..","..","..",8.77,"..",7.87,"..","..",5.51,5.51,5.51,5.51,5.1,1.65,1.57,1.57,1.57,1.54,1.51,1.6,1.58,1.6,1.57,1.57,1.6,1.6,1.6,1.6,1.6,1.61
"Australia","Machinery and transport equipment","..","..","..",11.54,"..",9.529999999999999,"..","..",4.23,4.19,4.14,4.07,4.05,3.43,3.23,3.23,3.23,2.97,3.16,3.31,3.24,3.28,2.99,2.82,2.84,2.84,2.84,2.84,2.84,2.87
"Australia","Other manufactured goods","..","..","..",20.53,"..",13.6,"..","..",9.970000000000001,9.289999999999999,8.640000000000001,8.060000000000001,7.48,7.18,7.31,7.31,7.31,5.76,5.73,5.69,5.69,5.69,4.18,4.18,4.19,4.19,4.19,3.71,3.71,3.7
"Austria","Manufactured goods, ores and metals","..","..",9.17,"..","..","..","..",6.29,5.39,5.5,4.92,4.51,4.35,4.4,4.56,4.33,4.08,4.07,4.06,3.86,3.86,3.86,4.04,4.03,4.02,4.01,4,4.01,3.96,3.96
"Austria","Ores and metals","..","..",2.79,"..","..","..","..",2.33,1.97,1.96,1.77,1.59,1.59,1.59,1.59,1.59,1.63,1.59,1.59,1.58,1.56,1.56,1.56,1.56,1.57,1.57,1.57,1.57,1.57,1.57
"Austria","Manufactured goods","..","..",9.619999999999999,"..","..","..","..",6.56,5.61,5.73,5.12,4.71,4.52,4.59,4.76,4.52,4.25,4.24,4.23,4.02,4.01,4.01,4.2,4.2,4.18,4.18,4.17,4.17,4.12,4.13
"Austria","Chemical products","..","..",4.5,"..","..","..","..",7.49,5.88,6.52,5.57,5.24,4.85,5.59,5.34,5.33,5.2,5.23,5.22,4.41,4.39,4.33,5.19,5.16,5.14,5.13,5.14,5.16,5.16,5.13
"Austria","Machinery and transport equipment","..","..",7.16,"..","..","..","..",4.55,3.55,3.54,2.83,2.34,2.28,2.28,2.27,2.27,2.27,2.26,2.22,2.27,2.27,2.26,2.26,2.27,2.27,2.28,2.27,2.27,2.16,2.19
"Austria","Other manufactured goods","..","..",12.52,"..","..","..","..",7.04,6.41,6.38,5.94,5.53,5.37,5.19,5.58,5.15,4.71,4.69,4.68,4.61,4.61,4.63,4.63,4.64,4.62,4.61,4.59,4.6,4.55,4.56
"Azerbaijan","Manufactured goods, ores and metals","_","_","_","_","..","..","..","..","..","..","..","..","..","..",9.199999999999999,"..","..",8.93,"..",8.52,8.220000000000001,8.460000000000001,"..",8.460000000000001,8.779999999999999,8.65,8.74,8.1,"..",".."
"Azerbaijan","Ores and metals","_","_","_","_","..","..","..","..","..","..","..","..","..","..",4.45,"..","..",4.34,"..",4.34,4.34,4.52,"..",4.51,4.49,4.49,4.49,4.49,"..",".."
"Azerbaijan","Manufactured goods","_","_","_","_","..","..","..","..","..","..","..","..","..","..",9.51,"..","..",9.26,"..",8.800000000000001,8.48,8.73,"..",8.720000000000001,9.060000000000001,8.93,9.02,8.34,"..",".."
"Azerbaijan","Chemical products","_","_","_","_","..","..","..","..","..","..","..","..","..","..",4.68,"..","..",4.59,"..",4.55,4.04,4.6,"..",4.55,4.57,4.57,4.57,4.09,"..",".."
"Azerbaijan","Machinery and transport equipment","_","_","_","_","..","..","..","..","..","..","..","..","..","..",5.18,"..","..",6.03,"..",5.09,5.09,4.86,"..",4.78,4.83,4.83,4.8,4.83,"..",".."
"Azerbaijan","Other manufactured goods","_","_","_","_","..","..","..","..","..","..","..","..","..","..",13.26,"..","..",12.09,"..",12.07,11.69,12.06,"..",12.1,12.74,12.5,12.67,11.62,"..",".."
"Bahamas","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..",32.23,"..","..",31.72,"..","..","..",31.45,"..","..","..",38.55,38.55,"..",38.14,38.12,36.83,36.28,".."
"Bahamas","Ores and metals","..","..","..","..","..","..","..","..","..","..","..",34.3,"..","..",33.31,"..","..","..",33.06,"..","..","..",42.37,42.37,"..",42.34,42.34,41.97,41.97,".."
"Bahamas","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..",32.1,"..","..",31.62,"..","..","..",31.34,"..","..","..",38.3,38.3,"..",37.86,37.84,36.48,35.9,".."
"Bahamas","Chemical products","..","..","..","..","..","..","..","..","..","..","..",33.94,"..","..",33.46,"..","..","..",33.47,"..","..","..",41.47,41.47,"..",41.21,41.21,41.01,41,".."
"Bahamas","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..",35.57,"..","..",34.64,"..","..","..",34.15,"..","..","..",38.24,38.24,"..",36.93,36.91,36.53,36.02,".."
"Bahamas","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..",29.88,"..","..",29.59,"..","..","..",29.3,"..","..","..",37.04,37.04,"..",36.9,36.86,34.61,33.76,".."
"Bahrain","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..",7.73,7.77,7.73,5.06,4.97,4.97,4.92,4.86,4.71,4.71,4.71,4.7,4.76,4.76,4.64,4.63,4.64,4.64,4.65
"Bahrain","Ores and metals","..","..","..","..","..","..","..","..","..","..","..",5.39,5.39,5.39,4.96,5.2,5.2,4.8,4.8,4.77,4.76,4.77,4.92,4.9,4.9,4.76,4.73,4.76,4.76,4.76
"Bahrain","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..",7.89,7.93,7.89,5.06,4.96,4.96,4.93,4.87,4.71,4.71,4.71,4.68,4.75,4.75,4.64,4.62,4.64,4.64,4.65
"Bahrain","Chemical products","..","..","..","..","..","..","..","..","..","..","..",5.34,5.33,5.34,4.92,4.88,4.88,4.89,4.59,4.49,4.49,4.49,4.5,4.54,4.54,4.45,4.44,4.45,4.45,4.46
"Bahrain","Machinery and transport equipment","..","..","..","..","..","..","..","..","..","..","..",9.44,9.470000000000001,9.44,4.99,4.87,4.87,4.87,4.87,4.43,4.43,4.43,4.23,4.4,4.4,4.22,4.22,4.22,4.22,4.24
"Bahrain","Other manufactured goods","..","..","..","..","..","..","..","..","..","..","..",8.220000000000001,8.289999999999999,8.220000000000001,5.15,5.03,5.03,4.98,4.98,4.92,4.92,4.92,4.95,4.98,4.98,4.9,4.87,4.9,4.9,4.89
"Bangladesh","Manufactured goods, ores and metals","..",117.8,"..","..","..","..",82.56999999999999,"..","..","..",27.06,21.63,21.59,20.32,20.37,19.18,18.17,15.02,15.02,14.22,14.27,13.98,13.97,13.98,13.9,13.13,"..",13.05,13.05,".."
"Bangladesh","Ores and metals","..",45,"..","..","..","..",61.23,"..","..","..",16.93,14.33,14.33,12.69,12.71,12.99,12.94,9.84,9.84,9.050000000000001,10.58,9.85,9.869999999999999,9.82,9.75,8.800000000000001,"..",8.74,8.76,".."
"Bangladesh","Manufactured goods","..",123.12,"..","..","..","..",84.01000000000001,"..","..","..",27.72,22.11,22.06,20.82,20.87,19.6,18.52,15.37,15.37,14.57,14.52,14.25,14.25,14.25,14.18,13.42,"..",13.33,13.34,".."
"Bangladesh","Chemical products","..",62.73,"..","..","..","..",69.02,"..","..","..",23.31,16.81,16.81,15.01,15.05,14.76,14.32,11.55,11.55,10.28,11.12,10.41,10.36,10.38,10.33,9.44,"..",9.4,9.4,".."
"Bangladesh","Machinery and transport equipment","..",69.68000000000001,"..","..","..","..",77.40000000000001,"..","..","..",22.14,13.52,13.41,12.51,12.43,12.98,12.54,10.66,10.64,9.789999999999999,8.94,8.92,8.9,8.92,8.82,7.8,"..",7.37,7.37,".."
"Bangladesh","Other manufactured goods","..",166.17,"..","..","..","..",92.52,"..","..","..",31.85,27.84,27.84,26.68,26.78,24.32,22.73,18.88,18.88,18.29,18.28,18.1,18.11,18.11,18.09,17.49,"..",17.53,17.54,".."
"Barbados","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..",23.07,"..","..",19.49,19.25,9.68,9.949999999999999,9.94,11.11,"..",10.43,10.73,"..","..",9.199999999999999,9.18,9.16,9.140000000000001,"..","..","..",".."
"Barbados","Ores and metals","..","..","..","..","..","..","..","..",19.43,"..","..",16.18,16.18,5.84,5.84,5.84,5.79,"..",5.61,5.61,"..","..",5.58,5.58,5.8,5.78,"..","..","..",".."
"Barbados","Manufactured goods","..","..","..","..","..","..","..","..",23.12,"..","..",19.54,19.29,9.94,10.22,10.22,11.46,"..",10.76,11.08,"..","..",9.449999999999999,9.43,9.390000000000001,9.359999999999999,"..","..","..",".."
"Barbados","Chemical products","..","..","..","..","..","..","..","..",31.95,"..","..",26.6,24.66,7.7,9.050000000000001,9.029999999999999,8.609999999999999,"..",6.17,7.65,"..","..",7.33,7.22,7.25,7.15,"..","..","..",".."
"Barbados","Machinery and transport equipment","..","..","..","..","..","..","..","..",18.84,"..","..",16.37,16.37,7.99,7.99,7.99,7.77,"..",7.78,7.78,"..","..",7.66,7.66,7.59,7.57,"..","..","..",".."
"Barbados","Other manufactured goods","..","..","..","..","..","..","..","..",22.71,"..","..",19.18,19.15,11.61,11.61,11.61,14.17,"..",13.84,13.84,"..","..",11.05,11.05,11.02,11.02,"..","..","..",".."
"Belarus","Manufactured goods, ores and metals","_","_","_","_","..","..","..","..",12.52,12.93,"..","..",10.07,10.08,11.1,"..","..","..","..","..",10.04,10.14,8.550000000000001,8.460000000000001,8.51,8.369999999999999,7.7,7.16,6.24,5.97
"Belarus","Ores and metals","_","_","_","_","..","..","..","..",9.869999999999999,8.92,"..","..",8.220000000000001,8.220000000000001,8.15,"..","..","..","..","..",8.539999999999999,8.369999999999999,7.3,7.2,7.21,7.06,6.65,6.37,5.9,5.5
"Belarus","Manufactured goods","_","_","_","_","..","..","..","..",12.7,13.2,"..","..",10.21,10.21,11.29,"..","..","..","..","..",10.14,10.26,8.630000000000001,8.550000000000001,8.59,8.460000000000001,7.77,7.21,6.27,6
"Belarus","Chemical products","_","_","_","_","..","..","..","..",6.03,7.06,"..","..",6.55,6.55,6.75,"..","..","..","..","..",6.91,6.89,6.52,6.5,6.52,6.36,5.81,5.43,5.11,4.98
"Belarus","Machinery and transport equipment","_","_","_","_","..","..","..","..",11.91,12.72,"..","..",10.24,10.24,10.65,"..","..","..","..","..",7.11,7.07,5.22,5.21,5.21,5.18,4.6,4.31,3.8,3.67
"Belarus","Other manufactured goods","_","_","_","_","..","..","..","..",15.6,15.79,"..","..",11.91,11.92,13.34,"..","..","..","..","..",12.76,12.99,10.95,10.84,10.91,10.74,9.949999999999999,9.199999999999999,7.81,7.42
"Belgium","Manufactured goods, ores and metals",5.81,5.8,8.140000000000001,6.73,6.83,6.78,6.73,6.29,5.39,5.5,4.92,4.51,4.35,4.4,4.56,4.33,4.08,4.07,4.06,3.86,3.86,3.86,4.04,4.03,4.02,4.01,4,4.01,3.96,3.96
"Belgium","Ores and metals",2.53,2.47,2.54,2.54,2.54,2.54,2.54,2.33,1.97,1.96,1.77,1.59,1.59,1.59,1.59,1.59,1.63,1.59,1.59,1.58,1.56,1.56,1.56,1.56,1.57,1.57,1.57,1.57,1.57,1.57
